#{"t_start": 1786528249.9796882, "env_id": "None"}
r,l,t
-10.0,2,7.16032
-54.0,1,7.165547
-45.3,1,7.173437
-42.3,1,7.180156
-10.0,1,7.1947
-10.0,2,7.203067
-44.4,3,7.216685
-10.0,1,7.225416
-10.0,1,7.301771
-10.0,1,7.308784
-10.0,1,7.316374
-10.0,1,7.327183
-34.5,1,7.359965
-10.0,2,7.370362
-48.6,1,7.377592
-44.4,1,7.387334
-48.6,1,7.412575
-10.0,2,7.42532
-10.0,1,7.4417
-61.5,1,7.459936
-48.6,1,7.48552
-10.0,1,7.496768
-32.1,1,7.509598
-31.2,1,7.536512
-44.4,1,7.55615
-30.0,3,7.568576
-10.0,1,7.577632
-10.0,2,7.590075
-10.0,1,7.605384
-31.8,2,7.614121
-10.0,2,7.626417
-10.0,1,7.637712
-51.3,1,7.653231
-10.0,2,7.662724
-49.8,1,7.671764
-10.0,1,7.678412
-10.0,1,7.693573
-10.0,1,7.701872
-10.0,1,7.708048
-69.3,2,7.719735
-67.5,1,7.735399
-47.7,1,7.742742
-46.8,2,7.75263
-10.0,2,7.767326
-10.0,1,7.789371
-10.0,1,7.799387
-10.0,1,7.810765
-30.9,1,7.822944
-10.0,1,7.842182
-54.0,1,7.850229
-10.0,2,7.858564
-54.9,1,7.863861
-35.4,2,7.889037
-10.0,1,7.89837
-43.8,2,7.910588
-10.0,2,7.923437
-42.6,1,7.936645
-46.8,3,7.952037
-10.0,1,7.958651
-10.0,1,7.965518
-31.2,1,7.980079
-10.0,2,7.992808
-35.7,1,8.000243
-10.0,1,8.007672
-10.0,3,8.02721
-10.0,1,8.033011
-25.2,1,8.038069
-10.0,1,8.044964
-10.0,1,8.063162
-48.9,1,8.074419
-10.0,1,8.080678
-10.0,3,8.095673
-48.9,1,8.110272
-10.0,2,8.120961
-10.0,2,8.13316
-10.0,2,8.339428
-10.0,1,8.369843
-10.0,1,8.383559
-25.8,1,8.397508
-78.6,1,8.426175
-10.0,1,8.454545
-10.0,2,8.46889
-67.5,1,8.494555
-64.8,1,8.505246
-36.9,1,8.528817
-47.1,1,8.538139
-50.1,5,8.600707
-10.0,1,8.612775
-30.9,1,8.63713
-64.8,1,8.646354
-10.0,1,8.677101
-56.7,1,8.688301
-10.0,2,8.717734
-23.1,1,8.745287
-30.9,1,8.754656
-10.0,1,8.767957
-28.8,1,8.786207
-93.3,1,8.802498
-69.3,2,8.811257
-10.0,1,8.818584
-64.5,2,8.853821
-54.6,2,8.865232
-56.7,1,8.884171
-10.0,1,8.889189
-39.6,3,8.917953
-10.0,1,8.92599
-10.0,1,8.934134
-10.0,3,8.957586
-10.0,2,8.983016
-10.0,2,9.006099
-33.9,2,9.0173
-44.4,1,9.034927
-66.9,2,9.056126
-61.5,1,9.063239
-10.0,1,9.082448
-10.0,1,9.090784
-41.4,1,9.109017
-38.7,1,9.117222
-53.7,1,9.143231
-35.7,1,9.152885
-10.0,1,9.174548
-78.0,3,9.202817
-10.0,4,9.233717
-10.0,1,9.241331
-10.0,1,9.264057
-25.8,1,9.293009
-10.0,1,9.304018
-10.0,2,9.316694
-28.8,1,9.353152
-10.0,1,9.364454
-25.5,2,9.377487
-10.0,1,9.398116
-51.3,1,9.417416
-67.2,1,9.425464
-39.9,2,9.448555
-10.0,3,9.459744
-40.2,1,9.489597
-41.4,1,9.494756
-39.0,1,9.502854
-10.0,1,9.512429
-39.9,2,9.544631
-44.7,3,9.569908
-10.0,1,9.578229
-49.5,1,9.585311
-10.0,1,9.603154
-68.1,1,9.619514
-10.0,1,9.62703
-28.8,1,9.636541
-10.0,2,9.670712
-10.0,1,9.680685
-10.0,2,9.691222
-10.0,2,9.70959
-10.0,1,9.724744
-42.9,1,9.732549
-10.0,1,9.750597
-77.7,4,9.772756
-10.0,1,9.790659
-66.9,2,9.800489
-10.0,1,9.910475
-10.0,2,9.919826
-10.0,2,9.95616
-78.6,1,9.970538
-49.5,1,9.9781
-49.2,2,10.011508
-10.0,1,10.041378
-10.0,2,10.058564
-44.7,1,10.092942
-10.0,1,10.103867
-43.2,1,10.129218
-38.4,1,10.139202
-56.4,2,10.167872
-51.0,2,10.181399
-53.7,2,10.2291
-48.6,1,10.239141
-10.0,2,10.264058
-48.9,1,10.272691
-10.0,1,10.29411
-66.9,3,10.324025
-24.6,3,10.353073
-10.0,2,10.366063
-61.2,4,10.417871
-10.0,1,10.427918
-10.0,3,10.457438
-10.0,1,10.466808
-44.1,1,10.500483
-32.1,1,10.510444
-67.5,1,10.519217
-23.1,1,10.528665
-28.8,1,10.561646
-10.0,4,10.58943
-93.3,1,10.597804
-69.6,1,10.607125
-40.2,1,10.626164
-10.0,1,10.645081
-84.6,4,10.669967
-10.0,1,10.676928
-38.7,2,10.698698
-35.7,1,10.718267
-10.0,1,10.72734
-45.0,2,10.743868
-35.7,1,10.793107
-25.2,1,10.806346
-10.0,1,10.817721
-10.0,2,10.848305
-60.9,3,10.8821
-31.5,1,10.909323
-10.0,1,10.920932
-45.3,1,10.931811
-30.6,4,10.98661
-10.0,2,11.015207
-10.0,2,11.030141
-48.6,1,11.040437
-43.5,4,11.087443
-31.5,3,11.114104
-10.0,1,11.123078
-33.3,4,11.154401
-10.0,1,11.194541
-10.0,1,11.205896
-10.0,1,11.215505
-10.0,1,11.221938
-33.0,3,11.255255
-10.0,1,11.264637
-10.0,1,11.28419
-42.0,5,11.31138
-48.6,1,11.331028
-54.9,1,11.340475
-10.0,2,11.362949
