#{"t_start": 1786828163.5632281, "env_id": "None"}
r,l,t
-10.0,1,0.070641
-30.6,4,0.080892
-10.0,1,0.086063
-42.9,1,0.091372
-43.2,2,0.118938
-48.9,1,0.124772
-10.0,1,0.132379
-10.0,1,0.138166
-10.0,1,0.159258
-10.0,2,0.166117
-48.6,2,0.170217
-48.0,3,0.176004
-44.4,2,0.205698
-10.0,3,0.213392
-49.8,1,0.22108
-10.0,1,0.229876
-10.0,1,0.243278
-10.0,1,0.248603
-43.2,1,0.255651
-45.0,2,0.260486
-10.0,1,0.270427
-10.0,1,0.273473
-10.0,1,0.276129
-10.0,1,0.281051
-53.4,1,0.29009
-42.3,1,0.295369
-43.5,4,0.303084
-78.6,1,0.306521
-69.6,1,0.316938
-10.0,1,0.321072
-10.0,1,0.325771
-10.0,1,0.330647
-10.0,1,0.34208
-10.0,1,0.34729
-10.0,2,0.352583
-10.0,1,0.35627
-22.8,2,0.369966
-41.1,1,0.373472
-10.0,1,0.37638
-10.0,1,0.380375
-42.9,2,0.393467
-10.0,2,0.402215
-28.5,2,0.406985
-10.0,1,0.409736
-25.8,1,0.421339
-10.0,1,0.425683
-48.6,1,0.431102
-10.0,1,0.437025
-31.5,1,0.444918
-42.0,1,0.451119
-25.2,1,0.456036
-31.2,1,0.460854
-35.1,1,0.470923
-54.0,1,0.47835
-10.0,1,0.486147
-25.8,1,0.491491
-47.1,1,0.508167
-10.0,1,0.515329
-53.7,2,0.52255
-56.7,1,0.527366
-10.0,1,0.541825
-43.2,1,0.546355
-32.1,1,0.552421
-10.0,2,0.559775
-43.2,1,0.570378
-44.4,1,0.576575
-10.0,2,0.587387
-41.1,1,0.590818
-36.3,1,0.600768
-10.0,1,0.605033
-61.5,1,0.608073
-48.3,5,0.617199
-36.0,2,0.626699
-10.0,1,0.632281
-44.4,1,0.636491
-36.3,1,0.640117
-10.0,2,0.661378
-10.0,2,0.669302
-45.3,1,0.678559
-42.3,1,0.684576
-10.0,1,0.695566
-10.0,1,0.701049
-10.0,1,0.712116
-38.7,1,0.718774
-10.0,2,0.73483
-10.0,1,0.750198
-32.1,1,0.756812
-44.1,1,0.760852
-10.0,2,0.784867
