#{"t_start": 1786475270.7516503, "env_id": "None"}
r,l,t
-10.0,1,5.194164
-54.0,1,5.201649
-10.0,2,5.211345
-42.3,1,5.217014
-42.3,1,5.223092
-10.0,1,5.232281
-45.0,1,5.237546
-10.0,2,5.24796
-43.2,1,5.254787
-10.0,1,5.262605
-10.0,1,5.268994
-10.0,1,5.27708
-34.2,2,5.287203
-10.0,2,5.297607
-48.3,2,5.307899
-10.0,1,5.314513
-10.0,2,5.325027
-33.6,1,5.330626
-10.0,1,5.336508
-10.0,1,5.345432
-48.3,2,5.355337
-42.9,1,5.361056
-31.8,2,5.370749
-31.2,1,5.383256
-44.4,1,5.389365
-30.3,2,5.397057
-10.0,2,5.404941
-10.0,1,5.41113
-42.3,2,5.418961
-32.1,1,5.42435
-10.0,3,5.434754
-35.1,1,5.439987
-51.3,1,5.446258
-67.2,1,5.451649
-49.8,1,5.456942
-61.8,3,5.467415
-10.0,3,5.47836
-10.0,1,5.484326
-33.9,2,5.519999
-69.3,2,5.527909
-67.5,1,5.533378
-10.0,1,5.538296
-47.1,1,5.543606
-10.0,1,5.548863
-62.4,1,5.553826
-10.0,1,5.558939
-32.1,1,5.565959
-10.0,1,5.570973
-44.4,1,5.577255
-54.0,1,5.583198
-47.7,1,5.58813
-10.0,2,5.597777
-10.0,1,5.603536
-48.6,2,5.613498
-43.8,2,5.623439
-10.0,1,5.631673
-10.0,2,5.63988
-47.1,2,5.648698
-53.4,1,5.655113
-10.0,1,5.662743
-10.0,2,5.671059
-53.1,2,5.679513
-10.0,1,5.684555
-10.0,2,5.693333
-43.5,1,5.698585
-44.7,1,5.703541
-10.0,3,5.715682
-10.0,1,5.722015
-10.0,1,5.729034
-10.0,2,5.736276
-10.0,1,5.744656
-32.1,1,5.750902
-48.6,2,5.762337
-33.6,1,5.767884
-92.7,3,5.779661
-10.0,2,5.790227
-43.2,1,5.79742
-10.0,1,5.80229
-10.0,2,5.810593
-78.6,1,5.815555
-69.6,1,5.820431
-42.0,2,5.828763
-10.0,1,5.833724
-64.8,1,5.839192
-10.0,2,5.847199
-47.1,1,5.852057
-10.0,3,5.86322
-42.0,1,5.868078
-30.6,2,5.876815
-64.8,1,5.881793
-10.0,1,5.887126
-10.0,2,5.896059
-10.0,1,5.901668
-10.0,1,5.907615
-10.0,1,5.913105
-10.0,5,5.929455
-28.2,3,5.940969
-93.0,2,5.949649
-69.6,1,5.954796
-10.0,2,5.96491
-10.0,1,5.970497
-10.0,1,5.976543
-56.7,1,5.982101
-10.0,1,5.986948
-10.0,2,5.996352
-10.0,1,6.001347
-43.8,3,6.013028
-78.6,1,6.037796
-54.0,1,6.046484
-10.0,2,6.060143
-33.6,3,6.072914
-10.0,2,6.082842
-66.9,2,6.09232
-10.0,4,6.108947
-48.6,1,6.118148
-10.0,1,6.129001
-10.0,1,6.139346
-38.7,1,6.149669
-53.4,2,6.162354
-10.0,1,6.170549
-10.0,1,6.178311
-10.0,1,6.184728
-45.0,2,6.198993
-53.7,2,6.211724
-68.1,1,6.218314
-10.0,1,6.224628
-29.7,1,6.231184
-10.0,2,6.242279
-10.0,3,6.25405
-69.6,1,6.260453
-10.0,2,6.270176
-10.0,1,6.277908
-10.0,1,6.285168
-10.0,1,6.292776
-40.2,1,6.298896
-54.9,1,6.304698
-10.0,1,6.311987
-10.0,1,6.320283
-39.0,1,6.3288
-42.3,1,6.335468
-10.0,1,6.3427
-10.0,1,6.351171
-10.0,1,6.361093
-48.9,3,6.373034
-44.4,2,6.382046
-68.1,1,6.388124
-41.1,2,6.39798
-10.0,1,6.405652
-10.0,3,6.419604
-10.0,1,6.427589
-10.0,3,6.441952
-33.6,1,6.447986
-86.4,3,6.462201
-42.6,2,6.471827
-10.0,3,6.490935
-78.0,3,6.503856
-10.0,1,6.511396
-67.2,1,6.516569
-10.0,2,6.526474
-44.4,1,6.53423
-44.1,3,6.548195
-78.6,1,6.554239
-10.0,1,6.563308
-49.2,2,6.57473
-10.0,1,6.581537
-48.9,1,6.590236
-10.0,1,6.598017
-10.0,1,6.604896
-42.9,2,6.615373
-38.4,1,6.62293
-10.0,1,6.629712
-10.0,1,6.636542
-54.0,1,6.646242
-10.0,1,6.65677
-10.0,1,6.664573
-48.9,1,6.671941
-10.0,2,6.684284
-67.5,1,6.692777
-10.0,1,6.70111
-10.0,1,6.7096
-62.1,1,6.719748
-10.0,4,6.741662
-43.8,2,6.753108
-25.8,1,6.763947
-44.1,1,6.774565
-32.1,1,6.786474
-10.0,1,6.797062
-22.8,2,6.809624
-28.8,1,6.821226
-54.3,3,6.843983
-93.3,1,6.852415
-10.0,2,6.869285
-40.2,1,6.879871
-10.0,2,6.892169
-10.0,2,6.902499
-45.0,1,6.91244
-39.0,1,6.923011
-35.7,1,6.930966
-10.0,1,6.938513
-10.0,2,6.953789
-10.0,1,6.964469
-10.0,1,6.973363
-44.1,1,6.982983
-25.5,2,6.993075
-10.0,1,7.002151
-10.0,1,7.008065
-10.0,2,7.021411
-10.0,3,7.035193
-10.0,1,7.041293
-54.0,1,7.048333
-10.0,1,7.056662
-10.0,1,7.064072
-44.4,1,7.071698
-31.8,2,7.081975
-34.5,1,7.088873
-34.2,1,7.095224
-10.0,1,7.101647
-10.0,4,7.121241
-10.0,1,7.129435
-10.0,2,7.137877
-10.0,1,7.146864
-10.0,2,7.160113
-47.1,1,7.168809
-43.2,1,7.176484
-10.0,1,7.181958
-54.9,1,7.187112
-56.7,1,7.193187
-28.8,1,7.198515
-10.0,1,7.204916
-43.2,1,7.211446
-10.0,1,7.219572
-68.1,1,7.22699
-70.8,1,7.232688
-10.0,1,7.240569
-10.0,1,7.246923
-10.0,1,7.253438
-78.6,1,7.259488
-42.0,2,7.269009
-10.0,1,7.276747
-10.0,1,7.282221
-46.5,2,7.291957
-53.7,2,7.302525
-10.0,1,7.308009
-30.6,1,7.313019
-36.9,1,7.318269
-10.0,1,7.323365
-47.7,1,7.328836
-43.5,1,7.335271
-44.4,1,7.342001
-65.4,1,7.348075
-10.0,2,7.357497
-43.5,3,7.371624
-10.0,1,7.377636
-44.1,3,7.391531
-78.6,1,7.416447
-10.0,1,7.422899
-44.4,1,7.431308
-56.7,1,7.437089
-10.0,3,7.447408
-54.0,1,7.452469
-39.9,2,7.46083
-10.0,1,7.466431
-42.9,1,7.475407
-30.0,5,7.497691
-40.2,1,7.504492
-53.7,2,7.516008
-32.1,1,7.524903
-10.0,1,7.533724
-38.4,2,7.547152
-36.3,1,7.553668
-10.0,2,7.566544
-10.0,1,7.571975
-47.4,1,7.577184
-85.5,1,7.582213
-10.0,3,7.595978
-10.0,2,7.609257
-10.0,2,7.621962
-10.0,5,7.640196
-10.0,1,7.649691
-45.0,1,7.655803
-34.2,1,7.664867
-10.0,1,7.670906
-44.1,2,7.679405
-44.1,1,7.685035
-32.1,1,7.690564
-61.8,2,7.69913
-67.2,2,7.708204
-28.5,2,7.719383
-42.6,1,7.725941
-54.0,1,7.731632
-56.7,1,7.736961
-31.5,1,7.745985
-85.2,2,7.759715
-43.2,1,7.769331
-42.0,3,7.783551
-42.9,2,7.79637
-10.0,1,7.804609
-10.0,1,7.813317
-10.0,1,7.82267
-38.4,1,7.829916
-35.7,1,7.835532
-10.0,1,7.841992
-42.3,1,7.848523
-10.0,1,7.8564
-10.0,1,7.862783
-10.0,1,7.868168
-10.0,1,7.875009
-10.0,1,7.88028
-42.0,1,7.885545
-56.4,2,7.893874
-10.0,1,7.899127
-44.4,1,7.904832
-10.0,1,7.912212
-33.3,2,7.924212
-53.7,1,7.93275
-45.3,1,7.941922
-10.0,2,7.954786
-10.0,2,7.964858
-62.1,1,7.971971
-30.9,1,7.981172
-44.4,2,7.991495
-10.0,1,7.997359
-38.4,2,8.005234
-87.0,1,8.012245
-10.0,2,8.02042
-10.0,3,8.032042
-10.0,1,8.037234
-40.8,3,8.04899
-46.8,1,8.054167
-67.2,1,8.060722
-10.0,1,8.066009
-10.0,3,8.07939
-10.0,1,8.088279
-72.0,3,8.105945
-48.9,1,8.115002
-10.0,1,8.123848
-10.0,2,8.154147
-10.0,1,8.196395
-42.9,2,8.215756
-10.0,2,8.23408
-69.6,1,8.243463
-42.9,1,8.251615
-36.9,1,8.262883
-10.0,4,8.284316
-25.2,1,8.293652
-44.1,2,8.303833
-10.0,2,8.315475
-10.0,1,8.323266
-32.1,1,8.328386
-10.0,1,8.332738
-10.0,3,8.343112
-65.4,1,8.348879
-42.6,2,8.361982
-42.3,1,8.367928
-10.0,2,8.389371
-10.0,1,8.401523
-47.1,2,8.416306
-10.0,1,8.425
-10.0,1,8.432831
-52.8,3,8.456231
-10.0,1,8.46867
-30.9,1,8.478556
-35.1,1,8.486579
-10.0,2,8.502978
-10.0,2,8.516784
-10.0,2,8.530386
-48.9,1,8.540236
-10.0,1,8.551123
