#{"t_start": 1786829237.1354809, "env_id": "None"}
r,l,t
-10.0,2,0.04009
-10.0,1,0.045795
-10.0,1,0.053805
-10.0,1,0.060885
-43.5,1,0.069102
-10.0,1,0.077953
-61.2,2,0.089386
-51.3,1,0.094289
-10.0,2,0.104015
-39.6,3,0.117935
-48.9,1,0.125095
-10.0,1,0.132317
-44.1,3,0.145808
-10.0,1,0.152704
-10.0,1,0.157698
-10.0,1,0.162606
-10.0,1,0.167519
-10.0,1,0.173862
-10.0,2,0.181104
-10.0,1,0.186874
-54.9,1,0.195514
-10.0,1,0.203472
-10.0,1,0.210435
-47.4,1,0.217412
-53.4,1,0.222452
-10.0,4,0.234354
-10.0,1,0.239291
-10.0,5,0.253882
-69.6,1,0.258851
-10.0,1,0.263852
-10.0,1,0.26878
-10.0,1,0.273711
-10.0,2,0.281162
-10.0,1,0.286082
-38.1,1,0.290932
-93.0,2,0.298464
-23.1,1,0.303378
-10.0,1,0.308231
-41.4,1,0.313788
-10.0,2,0.321729
-10.0,2,0.329538
-10.0,1,0.334865
-10.0,1,0.339932
-10.0,2,0.348393
-25.8,1,0.353502
-10.0,2,0.36141
-10.0,1,0.366795
-54.0,1,0.37192
-10.0,1,0.377308
-10.0,3,0.387442
-10.0,2,0.395114
-10.0,1,0.400209
-10.0,2,0.408043
-10.0,1,0.413213
-10.0,2,0.420876
-25.5,2,0.428975
-47.1,1,0.434217
-10.0,1,0.440043
-10.0,1,0.44609
-10.0,1,0.453356
-10.0,1,0.461185
-43.2,1,0.467369
-10.0,1,0.474795
-10.0,1,0.483128
-43.2,1,0.489794
-10.0,2,0.499135
-43.8,2,0.507397
-10.0,1,0.512771
-36.3,1,0.518344
-30.6,1,0.523875
-10.0,1,0.529217
-49.5,1,0.534823
-10.0,1,0.545274
-10.0,1,0.551011
-10.0,1,0.556464
-36.3,1,0.561576
-10.0,1,0.56706
-10.0,1,0.572242
-10.0,1,0.57733
-10.0,1,0.583027
-10.0,1,0.588959
-10.0,1,0.594751
-31.8,2,0.604249
-10.0,2,0.612485
-10.0,1,0.620956
-10.0,1,0.629482
-10.0,2,0.640507
-10.0,1,0.64613
-10.0,1,0.65163
-10.0,1,0.656742
-69.6,1,0.662061
-43.2,1,0.667692
-30.9,1,0.672882
-10.0,3,0.683247
-10.0,1,0.688581
-45.3,1,0.69375
-44.1,2,0.701522
-56.7,1,0.707114
-48.3,2,0.714425
-41.1,2,0.722012
-42.9,2,0.72937
-10.0,1,0.734585
-10.0,1,0.739582
-10.0,2,0.74691
-10.0,1,0.751976
-30.9,1,0.756979
-10.0,3,0.766859
-10.0,1,0.77193
-32.1,1,0.776876
-22.8,2,0.784619
-25.8,1,0.789593
-10.0,1,0.794623
-44.4,1,0.799703
-36.3,1,0.805674
-56.7,1,0.810699
-10.0,1,0.816509
-44.4,1,0.822675
-10.0,1,0.82818
-35.4,2,0.837781
-54.6,2,0.846032
-39.6,3,0.863917
-42.9,2,0.871998
-10.0,2,0.87975
-31.2,4,0.893096
-10.0,1,0.900259
-10.0,1,0.905318
-47.4,1,0.910378
-10.0,1,0.915991
-10.0,1,0.921669
