algo,seed,step,episode_return
dqn,0,1,-10.0
dqn,0,2,-69.6
dqn,0,3,-48.6
dqn,0,10,-10.0
dqn,0,11,-54.9
dqn,0,12,-10.0
dqn,0,13,-29.7
dqn,0,14,-70.8
dqn,0,15,-10.0
dqn,0,16,-10.0
dqn,0,17,-30.6
dqn,0,18,-87.0
dqn,0,19,-48.6
dqn,0,20,-10.0
dqn,0,22,-10.0
dqn,0,23,-10.0
dqn,0,25,-69.3
dqn,0,26,-10.0
dqn,0,27,-67.2
dqn,0,29,-10.0
dqn,0,30,-10.0
dqn,0,31,-10.0
dqn,0,34,-10.0
dqn,0,36,-42.0
dqn,0,39,-40.5
dqn,0,40,-68.1
dqn,0,41,-67.2
dqn,0,46,-10.0
dqn,0,47,-30.9
dqn,0,48,-48.6
dqn,0,50,-40.8
dqn,0,51,-10.0
dqn,0,52,-45.0
dqn,0,53,-38.1
dqn,0,54,-10.0
dqn,0,55,-10.0
dqn,0,56,-10.0
dqn,0,57,-42.9
dqn,0,58,-10.0
dqn,0,59,-10.0
dqn,0,60,-49.5
dqn,0,61,-10.0
dqn,0,62,-10.0
dqn,0,63,-10.0
dqn,0,64,-42.3
dqn,0,65,-10.0
dqn,0,67,-42.9
dqn,0,68,-10.0
dqn,0,69,-10.0
dqn,0,70,-38.7
dqn,0,71,-30.9
dqn,0,73,-22.8
dqn,0,74,-48.9
dqn,0,75,-10.0
dqn,0,76,-10.0
dqn,0,78,-10.0
dqn,0,79,-42.9
dqn,0,80,-93.3
dqn,0,81,-10.0
dqn,0,82,-45.3
dqn,0,85,-10.0
dqn,0,86,-93.3
dqn,0,87,-47.1
dqn,0,88,-23.1
dqn,0,89,-10.0
dqn,0,90,-38.7
dqn,0,92,-10.0
dqn,0,95,-10.0
dqn,0,96,-41.1
dqn,0,99,-42.6
dqn,0,100,-10.0
dqn,0,101,-42.0
dqn,0,102,-10.0
dqn,0,105,-10.0
dqn,0,106,-10.0
dqn,0,109,-10.0
dqn,0,110,-29.7
dqn,0,111,-62.1
dqn,0,113,-10.0
dqn,0,114,-32.1
dqn,0,115,-10.0
dqn,0,116,-10.0
dqn,0,117,-10.0
dqn,0,119,-10.0
dqn,0,121,-48.3
dqn,0,122,-36.3
dqn,0,123,-10.0
dqn,0,125,-10.0
dqn,0,127,-30.6
dqn,0,128,-41.1
dqn,0,129,-10.0
dqn,0,131,-10.0
dqn,0,132,-10.0
dqn,0,133,-10.0
dqn,0,135,-10.0
dqn,0,136,-10.0
dqn,0,138,-65.1
dqn,0,139,-45.0
dqn,0,141,-42.6
dqn,0,142,-64.8
dqn,0,143,-10.0
dqn,0,144,-10.0
dqn,0,145,-42.0
dqn,0,146,-28.8
dqn,0,147,-40.2
dqn,0,148,-10.0
dqn,0,150,-29.4
dqn,0,152,-40.8
dqn,0,153,-10.0
dqn,0,154,-43.2
dqn,0,155,-28.8
dqn,0,156,-10.0
dqn,0,157,-38.1
dqn,0,158,-10.0
dqn,0,160,-30.6
dqn,0,161,-10.0
dqn,0,162,-10.0
dqn,0,163,-28.8
dqn,0,164,-30.9
dqn,0,165,-41.1
dqn,0,166,-28.8
dqn,0,168,-10.0
dqn,0,170,-44.4
dqn,0,172,-10.0
dqn,0,173,-10.0
dqn,0,174,-10.0
dqn,0,175,-10.0
dqn,0,176,-10.0
dqn,0,180,-10.0
dqn,0,181,-10.0
dqn,0,182,-10.0
dqn,0,183,-10.0
dqn,0,185,-10.0
dqn,0,186,-10.0
dqn,0,189,-10.0
dqn,0,191,-10.0
dqn,0,192,-10.0
dqn,0,193,-10.0
dqn,0,194,-69.6
dqn,0,197,-56.1
dqn,0,198,-10.0
dqn,0,199,-36.9
dqn,0,200,-10.0
dqn,0,201,-31.2
dqn,0,202,-10.0
dqn,0,204,-31.8
dqn,0,207,-10.0
dqn,0,208,-10.0
dqn,0,210,-10.0
dqn,0,211,-10.0
dqn,0,213,-65.1
dqn,0,214,-46.8
dqn,0,215,-69.6
dqn,0,216,-36.9
dqn,0,218,-10.0
dqn,0,219,-10.0
dqn,0,221,-10.0
dqn,0,222,-10.0
dqn,0,224,-70.5
dqn,0,225,-48.9
dqn,0,227,-10.0
dqn,0,228,-10.0
dqn,0,232,-10.0
dqn,0,234,-43.8
dqn,0,235,-10.0
dqn,0,236,-10.0
dqn,0,239,-28.2
dqn,0,240,-10.0
dqn,0,241,-29.7
dqn,0,243,-43.2
dqn,0,244,-33.6
dqn,0,246,-34.2
dqn,0,248,-10.0
dqn,0,249,-10.0
dqn,0,251,-30.9
dqn,0,252,-10.0
dqn,0,259,-10.0
dqn,0,264,-10.0
dqn,0,266,-10.0
dqn,0,267,-48.6
dqn,0,269,-10.0
dqn,0,270,-31.2
dqn,0,271,-10.0
dqn,0,273,-10.0
dqn,0,275,-48.3
dqn,0,276,-70.8
dqn,0,278,-35.4
dqn,0,279,-38.1
dqn,0,280,-45.0
dqn,0,281,-10.0
dqn,0,283,-10.0
dqn,0,284,-85.5
dqn,0,285,-10.0
dqn,0,286,-10.0
dqn,0,287,-48.6
dqn,0,288,-31.5
dqn,0,290,-35.4
dqn,0,292,-49.5
dqn,0,294,-10.0
dqn,0,295,-10.0
dqn,0,297,-10.0
dqn,0,298,-54.0
dqn,0,300,-10.0
dqn,0,301,-10.0
dqn,0,303,-30.6
dqn,0,304,-10.0
dqn,0,305,-10.0
dqn,0,306,-31.2
dqn,0,307,-10.0
dqn,0,308,-10.0
dqn,0,312,-45.9
dqn,0,317,-60.6
dqn,0,318,-45.3
dqn,0,320,-10.0
dqn,0,321,-10.0
dqn,0,322,-62.1
dqn,0,323,-10.0
dqn,0,324,-10.0
dqn,0,328,-10.0
dqn,0,329,-34.5
dqn,0,331,-31.8
dqn,0,332,-38.7
dqn,0,333,-48.6
dqn,0,334,-38.4
dqn,0,336,-30.9
dqn,0,337,-48.6
dqn,0,338,-10.0
dqn,0,339,-10.0
dqn,0,340,-10.0
dqn,0,343,-10.0
dqn,0,345,-46.5
dqn,0,346,-10.0
dqn,0,347,-30.9
dqn,0,348,-10.0
dqn,0,350,-31.2
dqn,0,351,-62.4
dqn,0,352,-44.1
dqn,0,353,-41.1
dqn,0,354,-10.0
dqn,0,355,-10.0
dqn,0,360,-10.0
dqn,0,362,-10.0
dqn,0,364,-10.0
dqn,0,365,-42.3
dqn,0,367,-10.0
dqn,0,368,-45.3
dqn,0,369,-10.0
dqn,0,370,-10.0
dqn,0,371,-10.0
dqn,0,372,-44.4
dqn,0,373,-10.0
dqn,0,374,-10.0
dqn,0,376,-42.9
dqn,0,379,-10.0
dqn,0,381,-10.0
dqn,0,382,-10.0
dqn,0,384,-10.0
dqn,0,385,-33.6
